source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051179,localization,1.6432609212884145e-20,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5309,1217,395,25907,0.3245686113393591,0.07440195893765304,query_1,['GO:0008150']
GO:BP,GO:0006810,transport,8.190889695703902e-17,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4364,1217,329,25907,0.2703368940016434,0.07538955087076077,query_1,['GO:0051234']
GO:BP,GO:0051234,establishment of localization,1.5592021751540824e-16,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4666,1217,345,25907,0.28348397699260475,0.07393913416202315,query_1,['GO:0051179']
GO:BP,GO:0006996,organelle organization,2.0854493056957332e-15,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3494,1217,274,25907,0.22514379622021363,0.07842014882655982,query_1,['GO:0016043']
GO:BP,GO:0048522,positive regulation of cellular process,7.072963569615356e-13,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",6095,1217,408,25907,0.3352506162695152,0.06694011484823625,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0032502,developmental process,1.7196020455568131e-12,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6873,1217,447,25907,0.36729663105998356,0.0650371017023134,query_1,['GO:0008150']
GO:BP,GO:0048856,anatomical structure development,1.7669530502146837e-12,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",6280,1217,416,25907,0.3418241577649959,0.06624203821656051,query_1,['GO:0032502']
GO:BP,GO:0009893,positive regulation of metabolic process,4.230336055456097e-12,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3493,1217,262,25907,0.2152834839769926,0.07500715717148583,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0048518,positive regulation of biological process,4.339520174433193e-12,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6447,1217,423,25907,0.3475760065735415,0.06561191251744998,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,1.12395338203369e-11,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3174,1217,242,25907,0.1988496302382909,0.07624448645242596,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:BP,GO:0033036,macromolecule localization,1.1336450934340357e-11,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",3054,1217,235,25907,0.19309778142974526,0.07694826457105436,query_1,['GO:0051179']
GO:BP,GO:0051641,cellular localization,1.4745739178774713e-10,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",3493,1217,256,25907,0.21035332785538208,0.07328943601488691,query_1,"['GO:0009987', 'GO:0051179']"
GO:BP,GO:0060255,regulation of macromolecule metabolic process,3.0717625725092076e-10,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",6153,1217,399,25907,0.3278553820870994,0.06484641638225255,query_1,"['GO:0019222', 'GO:0043170']"
GO:BP,GO:0051246,regulation of protein metabolic process,6.492045118563104e-10,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1667,1217,145,25907,0.11914543960558752,0.08698260347930414,query_1,"['GO:0019538', 'GO:0060255', 'GO:0080090']"
GO:BP,GO:0007275,multicellular organism development,1.2796301464699814e-09,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4907,1217,330,25907,0.27115858668857845,0.06725086610963929,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0051128,regulation of cellular component organization,2.460394796641466e-09,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2537,1217,196,25907,0.16105176663927692,0.07725660228616477,query_1,"['GO:0016043', 'GO:0050794']"
GO:BP,GO:0022402,cell cycle process,3.2109031816804756e-09,True,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",1235,1217,115,25907,0.09449465899753492,0.0931174089068826,query_1,"['GO:0007049', 'GO:0009987']"
GO:BP,GO:0007049,cell cycle,3.4287583175882768e-09,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",1640,1217,141,25907,0.11585866885784717,0.08597560975609755,query_1,['GO:0009987']
